,113406173,113550928,114502769,120650304,120650330,120650372,121005334,121005338,121005339,121005347,121005352,121005358,121005362,121005366,121005380,121005382,121005384,121005399,121005402,121005404,121005405,121005406,122886952,128005662,129733686,130352348,138215793,138216381,138216583,138216823,138216833,138216970,138216973,138216986,138217085,173537097,187059221,220489384,234508984,238699452,260432255,260538161,260668462,264249981,28866829,298744116,301419892,310697721,312188094,312551925,312551926,314791976,314793936,315857516,32994011,37224511,37320229,376134713,376284896,376426054,376426058,376426064,376426066,376426068,376426069,376426070,376426071,455437609,477043265,477154494,48153853,49362633,50265708,505429855,507682142,51128979,552648283,575147097,575149889,625501148,646779006,646779017,654305208,654305212,658562260,663084107,724585826,724585834,742675124,768691494,815666713,823296220,829066752,829069484,85603662,85685912,857604641,857604642,86094056,86368800,865716282,865744800,901750809,94810572,961788950,961824581,961824582,961824583,961824584,966673227,99274115,99285082
G06006100201041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.49,9.67,,5.16,,,,,,,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,67.66,67.24,,,0.74,1.07,,,,,,,,,,,,,,,,,,,,,,4.76,,
G06006100201042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.47,25.1,,22.48,,,,,,,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38,,,,,,,,66.64,,,,16.81,16.49,,,29.49,,,,,,,,,,,,,,,,,,,13.82,,
G06006100201043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.71,10.89,,6.38,,,,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,68.89,,,,0.72,0.39,,,31.73,,,,,,,,,,,,,,,,,,,3.8,,
G06006100201051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,14.66,,10.15,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,,,,,,,68.27,,,,4.48,4.15,,,31.12,,,,,,,,,,,,,,,,,,,1.35,,
G06006100201052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.38,14.58,,10.07,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,,,,,,,,69.55,,,,4.4,4.08,,,32.4,,,,,,,,,,,,,,,,,,,0.15,,
G06006100201061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34,16.08,,11.58,,,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,,,,,,,,67.52,,,,5.91,5.58,,,30.36,,,,,,,,,,,,,,,,,,,2.91,,
G06006100201062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.88,18.84,,14.33,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,,,,,,,,65.06,,,,8.66,8.34,,,27.9,,,,,,,,,,,,,,,,,,,5.67,,
G06006100201071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.16,18.7,,14.19,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,,,,,66.33,,,,8.52,8.19,,,29.18,,,,,,,,,,,,,,,,,,,5.52,,
G06006100201072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.12,17.66,,13.16,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06,,,,,,,,65.29,,,,7.49,7.16,,,28.14,,,,,,,,,,,,,,,,,,,4.49,,
G06006100201073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.58,17.53,,13.03,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93,,,,,,,,65.75,,,,7.36,7.03,,,28.6,,,,,,,,,,,,,,,,,,,4.36,,
G06006100202001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.85,17.89,,,17.89,17.89,,,,,,,,,,,,,17.05,15.95,,8.32,8.18,,,,,,,,,,,16.14,,,,,,,,,,,,,,,,,,,
G06006100202002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23,20.29,20.32,,,20.32,20.32,,,,,,,,,,,,,19.48,18.39,,4.11,3.96,,,,,,,,,,,18.58,,,,,,,,,,,,,,,,,,,
G06006100202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.84,62.45,,67.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.11,,,,,,28.2,28.06,44.34,43.92,,,67.37,67.7,,,,,,,,,,,,,,,,,,,,,,,,
G06006100202004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38,22.44,22.48,,,,,,,,,,,,,,,,,20.87,19.78,,0.73,0.58,15.9,15.47,,,,,,,,,19.96,,,,,,,,,,,,,,,,,,,
G06006100203001,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,,,,2.96,,,,,,,,,,,0.78,1.22,1.22,1.32,1.06,,,
G06006100203002,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,,,,,,,,2.7,,,,,,,,,,,1.76,1.8,1.8,1.9,1.64,,,
G06006100203003,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,3.06,,,,,,1.23,1.26,1.26,1.36,1.11,,,
G06006100204011,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,1.43,,,,,,,,,,1.33,1.6,1.6,1.7,1.44,,,
G06006100204012,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,1.91,,,,,,,,,,0.6,0.64,0.64,0.0,0.48,,,
G06006100204021,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,2.0,,,,,,,,,,2.45,2.9,2.9,3.0,2.74,,,
G06006100204022,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,0.53,,,,,,,,,,1.62,1.97,1.97,2.07,1.81,,,
G06006100205011,,,,,,,,,,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,,,,,,,,,5.55,,,,,,,,,,4.85,5.05,5.05,5.15,4.89,,,
G06006100205012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,,,,,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,4.89,,,,,,,,,4.28,,,,,,,,,,5.07,5.27,5.27,5.37,5.11,,,
G06006100205013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,6.94,,,,,,,,,6.37,,,,,,,,,,6.32,6.52,6.52,6.62,6.36,,,
G06006100205021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,2.37,,,,,,,,,1.86,,,,,,,,,,3.69,4.04,4.04,4.14,3.88,,,
G06006100205022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,,,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,4.97,,,,,,,,,4.36,,,,,,,6.85,,,,6.28,6.28,6.38,6.12,,,
G06006100205023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,2.83,,,,,,,,,2.22,,,,,,,,,,3.79,4.14,4.14,4.24,3.98,,,
G06006100206011,,,,,,,,,4.98,,,,,4.36,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,5.2,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,3.18,3.18,,,,,1.3,,,,,,,,,
G06006100206012,,,,,,,,,,,,,,,,,,,,,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,11.03,10.83,11.31,,,,,,8.28,,,,,,,,,,,,,,7.36,,,9.96,,11.3,,,,,,,,,,,,,,,,,,6.57,,,,,,,,,,,4.61,,,,,,,,,
G06006100206013,,,,,,,,,,,,,,4.98,,,,,,,,6.23,,,,,,,,,,,,,,,,,,,,,,4.06,,,,,,,,,,,4.87,,,,,,,,,,,,,,3.96,,,4.7,,,,,,,,,,,,,,,,,,,,0.9,,,,,4.62,4.62,,,,,1.8,,,,,,,,,
G06006100206021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,6.15,,7.12,,,,,,,9.9,,,,,,,,,,,,,,,,,,6.67,,,,,,,,,,,2.74,6.2,,,6.5,,,,,,5.59,,,,,,,4.27,,,,,,,,,,
G06006100206022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,4.77,,5.98,5.89,5.98,,,,,,,,,,,,,,,,,,,,,5.78,,5.28,,,,,,,,,,,5.55,,,,6.18,,,,,,,,,,,,,3.66,,,,,,,,,,
G06006100206023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,,4.73,6.21,5.95,5.85,5.95,,,,,,,,,,,,,,,,,,,,,5.7,,5.25,,,,,,,,,,,,,,,6.15,,,,,,,,,,,,,3.63,,,,,,,,,,
G06006100206024,,,,,,,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,4.44,4.24,4.72,4.87,4.5,4.91,,,,,,,,,,,,,,,,,,,,3.37,,4.71,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,
G06006100206025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,4.52,4.28,4.18,4.28,4.74,,,,,,,,,,,,,,,,,,,,3.65,,3.58,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,2.08,,,,,,,,,,
G06006100206041,,,,,,,,,,,,,,3.22,,,,,,,4.36,3.86,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,2.5,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,4.42,4.42,,,,,4.38,,,,,,,,,
G06006100206042,,,,,,,,,3.12,,,,,2.29,,,,,,,3.43,3.36,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,,,,,2.83,,,,,,,,,
G06006100206043,,,,,,,,,,,,,,4.94,,,,,,,,5.71,,,,,,,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,4.35,,,,,,,,,,,,,,3.48,,,3.86,,,,,,,,,,,,,,,,,,,,0.75,,,,,4.58,4.58,,,,,2.55,,,,,,,,,
G06006100206044,,,,,,,,,4.54,,,,,3.7,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,3.14,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,3.39,3.39,,,,,2.24,,,,,,,,,
G06006100206051,,,,,,,,,2.56,,,,,1.73,,,,,,,3.04,,,,,,,,,,,,,,3.32,,,,,,,,,0.71,,,,,,,,,,,2.61,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.84,,,,,2.17,,,,,,,,,
G06006100206052,,,,,,,,,3.69,,,,,3.36,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,4.24,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,4.18,,,,,1.89,1.89,,,,,2.3,,,,,,,,,
G06006100206053,,,,,,,,,2.39,,,,,1.55,,,,,,,2.86,,,,,,,,,,,,,,3.14,,,,,,,,,0.53,,,,,,,,,,,2.43,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.66,,,,,2.82,,,,,,,,,
G06006100206061,,,,,,4.51,,,3.12,,,,,3.03,,,4.23,,,,3.94,,,,,,,,,,,,,,4.31,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.43,,,,,3.3,,,,,,,,,
G06006100206062,,,,,,3.12,,3.71,1.95,,,,,1.86,,,2.83,,,,2.77,,,,,,,,,,,,,,3.14,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.55,,,,,,,,,,,,,,
G06006100206063,,,,,,3.02,,,1.64,,,,,1.55,,,2.74,,,,2.46,,,,,,,,,,,,,,2.83,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.23,,,,,,,,,,,,,,
G06006100207101,,,,,,2.11,,2.91,1.27,,,,,1.88,,,1.83,,,,2.31,,,,,,,,,,,,,,2.4,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.35,,,,,,,,,,,,,,
G06006100207102,,,,,,1.68,,1.72,0.31,,,,,0.59,,,1.46,,,,0.78,,,,,,,,,,,,,,1.16,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,,,,,,,,,,,,,,
G06006100207103,,,,,,1.04,,1.65,0.77,,,,,1.3,,,0.76,,,,1.27,,,,,,,,,,,,,,1.08,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,2.56,,,,,,,,,,,,,,
G06006100207111,,,,,2.52,1.42,,1.07,1.22,,,,,1.5,,,1.6,,,,0.13,,2.4,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207112,,,,,,,,2.12,1.05,,,,,0.47,,,,,,,1.52,,,,,,,,,,,,,,1.71,,,,,,,,,1.41,,,,,,,,,,,0.89,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,2.36,,,,,,,,,,,,,,
G06006100207113,,,,,,2.69,,2.44,1.32,,,,,0.75,,,,,,,1.8,,,,,,,,,,,,,,2.03,,,,,,,,,1.69,,,,,,,,,,,1.21,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,
G06006100207121,1.8,,,,1.6,1.61,,0.62,,,,,,,,,,1.71,,,0.98,,1.48,,,,1.97,,2.03,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207122,2.14,,,,1.94,1.16,,0.43,,,,,,,,,,2.04,,,1.38,,1.82,,,,,,,2.36,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
G06006100207123,2.11,,,,1.91,1.17,,0.17,1.84,,,,,,,,1.59,2.02,,,0.77,,1.79,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207131,1.26,1.63,,,0.27,2.46,,1.7,,,,,,,,,,1.04,,,2.45,,1.23,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
G06006100207132,,,,,2.57,0.47,,0.84,2.09,,,,,,,,1.17,2.54,,,1.65,,2.45,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
G06006100207141,2.24,1.3,,,1.82,1.41,,1.95,,,,,,,,,2.23,1.75,,,2.71,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
G06006100207142,,1.94,,,2.47,0.58,,1.12,2.33,,,,,,,,1.33,2.39,,,1.88,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
G06006100207151,,2.36,,,2.88,0.53,,1.38,1.92,,,,,2.45,,,0.63,2.8,,,1.62,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207152,,,,,3.49,0.99,,1.85,1.21,,,,,1.74,,,0.51,3.41,,,1.57,,,,,,,,,,,,,,1.38,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207171,2.11,,,,,,,1.49,,,,,1.65,,,,,,,,1.6,2.11,1.65,,,,1.45,,1.58,,,,,,1.53,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100207172,,,,,,,,,,,,,4.15,2.06,,,,,,,2.97,1.92,4.08,,,,3.96,,4.09,,,,,,2.9,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06006100208051,1.75,0.09,,,1.63,2.07,,2.6,,,,,,,,,2.89,1.42,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.89
G06006100208052,1.21,1.26,,,0.58,2.25,,2.28,,,,,,,,,,0.66,,,,,1.74,,,,,,,1.68,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82
G06006100208053,1.48,0.99,,,1.06,1.99,,2.52,,,,,,,,,,0.98,,,,,2.09,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,1.02
G06006100208061,0.72,,,,,,,,,,,1.38,1.14,,,,,,,,,,0.02,,,,0.94,,0.95,0.94,1.38,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,
