,205543917,218849614,27179805,27420396,27420438,27588507,27588640,27588811,27589016,27589226,27589310,27589495,27590535,27928059,27928118,27928155,27946162,27946286,27946310,27946323,27946663,28239302,28512205,28512446,29123762,33747460,34779901,35061973,385778927,385799186,44602862,55414436,55414476,65072026,65072179,65072265,82811031,84518573,89795850,90455023
G06006900001001,6.79,,,,,,6.66,,,,,8.72,,6.67,6.13,6.64,,,,,7.68,,,,,,5.65,,,,,4.91,4.91,,,,,,,
G06006900001002,1.88,,,,,,4.01,,,,,2.64,,,,,2.46,,,,1.6,2.68,3.59,,,,4.36,,,,,4.51,4.51,,,,,,,
G06006900001003,8.36,,10.74,,,,,,,7.77,,7.78,,,,,5.88,,,,7.47,6.53,7.43,,,9.09,,,,,,,,,7.45,,,,,
G06006900001004,7.39,,,,,,11.78,,,,,6.8,,,11.25,,10.56,,,,6.5,10.78,,,,,10.77,,,,,10.02,10.03,,,,,,,
G06006900002001,,,3.55,,,,,9.41,8.56,8.43,,,,,,,,,,,,,8.72,,,4.11,,,,,,,,8.82,8.74,8.74,9.19,,,
G06006900002002,,,4.15,,,,,,7.4,7.27,,,,,,,8.17,,,,,,7.56,,,2.96,,,,,,,,7.66,7.59,7.59,8.03,,,
G06006900002003,,,4.86,,,,,8.32,7.47,7.34,,,,,,,,,,,,,7.64,,,3.03,,,,,,,,7.73,7.66,7.66,8.1,,,
G06006900002004,,,,,,11.68,,11.29,10.44,10.31,,,,,,,,11.72,11.35,,,,,,,6.0,,,,,10.81,,,10.7,,,11.07,,,
G06006900002005,,,6.71,,,,,,16.94,16.82,,,,,,,17.71,,,,,,17.11,,,12.5,,,,,,,,17.2,17.13,17.13,17.57,,,
G06006900002006,,,2.71,,,,,,12.94,12.81,,,,,,,13.71,,,,,,13.1,,,8.49,,,,,,,,13.2,13.12,13.12,13.57,,,
G06006900003001,,,,,,,,,1.34,1.21,,,,,,,2.42,,,,,1.77,1.08,1.5,,,,,,,,,,1.58,1.5,1.5,1.97,,,
G06006900003002,,,,,,,,,1.4,1.26,,,,,,,2.47,,,,,1.83,1.13,1.56,,,,,,,,,,1.63,1.56,1.56,2.03,,,
G06006900003003,,,,,,,,,0.86,0.72,,,,,,,1.93,,,,,1.29,0.59,1.02,,,,,,,,,,1.09,1.02,1.02,1.49,,,
G06006900004001,,,,,,,1.25,,1.12,0.85,,,,,,,,,,,,0.69,0.74,0.52,,,,,,,,,,0.59,0.52,0.52,1.42,,,
G06006900004002,,,,,,,,0.46,0.4,0.54,,,,,,,,0.89,,,,,0.72,0.43,,,,,,,,,,0.36,0.43,0.43,0.46,,,
G06006900004003,,,,,,,,0.33,0.64,0.78,,,,,,,,0.66,,,,,0.95,0.45,,,,,,,,,,0.38,0.45,0.45,0.44,,,
G06006900004004,,,,,,,,0.68,0.17,0.45,,,,,,,,1.11,,,,,0.88,0.75,,,,,,,,,,0.67,0.75,0.75,0.46,,,
G06006900004005,,,,,,,,1.02,0.4,0.27,,,,,,,,,,,,1.13,0.32,0.35,,,,,,,,,,0.42,0.35,0.35,1.02,,,
G06006900004006,,,,,,,,0.64,0.73,0.87,,,,,,,,0.57,,,,,1.04,0.55,,,,,,,,,,0.47,0.55,0.55,0.75,,,
G06006900005011,,,,1.28,1.31,,1.68,,,,,,,0.5,1.01,1.81,,,,,,,,,0.95,,1.62,,,,,1.56,1.45,,,,,,,
G06006900005012,,,,,0.5,,1.08,1.67,,,,,,1.29,,,,1.41,,,,,,1.57,,,,,,,,,,1.5,1.57,1.57,1.89,,,
G06006900005013,,,,1.3,0.77,,1.33,,,,,,,0.76,1.24,1.83,,1.57,,1.25,,,,,0.94,,1.26,,,,,,,,,,,,,
G06006900005021,,,,,1.75,,1.06,,,,,,,1.67,2.0,2.51,,,,,,1.83,,2.01,,,0.1,,,,,1.03,0.92,,,,,,,
G06006900005022,,,,,,,1.43,,1.53,1.26,,,,,,,0.65,,,,,0.01,0.91,0.93,,,,,,,,,,1.0,0.93,0.93,,,,
G06006900005023,,,,,0.94,,0.31,,,,,,,1.45,,,,,,,,1.41,1.39,1.07,,,1.12,,,,,,,1.14,1.07,1.07,,,,
G06006900005024,,,,,,,0.73,,1.46,1.19,,,,,,,,,,,,0.68,0.86,0.86,,,1.09,,,,,,,0.93,0.86,0.86,,,,
G06006900006001,,,,0.57,0.95,1.7,2.05,,,,,,,0.4,0.34,0.93,,,,1.38,,,,,0.54,,,,,,,,1.63,,,,,,,
G06006900006002,,,,0.4,1.74,1.85,,,,,,,,1.19,1.21,1.8,,,1.92,1.39,,,,,0.75,,,,,,1.89,,,,,,,,,
G06006900006003,,,,1.43,0.52,1.21,,,,,,,,0.89,1.37,1.97,,1.14,1.53,1.03,,,,,1.07,,,,,,,,,,,,,,,
G06006900006004,,,,0.62,0.85,1.09,,,,,,,,0.77,1.21,1.8,,1.55,1.43,0.77,,,,,0.42,,,,,,,,,,,,,,,
G06006900007011,,,,,,,,1.38,0.56,0.83,,,,,,,,1.8,,,,,1.28,1.15,,,,,,,,,,1.1,1.15,1.15,1.16,,,
G06006900007012,,,,,,,,1.6,0.74,0.62,,,,,,,,,,,,1.72,0.91,0.93,,,,,,,,,,1.0,0.93,0.93,1.37,,,
G06006900007021,,,,,,2.12,,1.71,1.84,2.1,,,,,,,,2.0,1.79,2.55,,,,,,,,,,,1.24,,,2.37,,,1.59,,,
G06006900007022,,,,,1.21,0.21,,1.15,,,,,,1.52,,,,0.89,0.54,0.49,,,,,1.17,,,,,,1.0,,,,,,1.38,,,
G06006900007023,,,,,1.28,,,0.77,1.07,1.21,,,,,,,,0.65,,,,,,0.88,,,,,,,,,,0.81,0.88,0.88,0.88,,,
G06006900008011,,,,2.39,,3.34,,,,,2.18,,2.21,,2.78,3.03,,,,2.88,,,,,2.68,,,,3.28,,3.38,,,,,,,,,
G06006900008012,,,,2.03,,2.98,,,,,2.43,,1.94,2.76,2.42,2.67,,,,2.51,,,,,2.32,,,,,,3.02,,,,,,,,,
G06006900008021,,50.11,,38.36,,,,,,,37.55,,35.12,,,,,,,,,,,,,,,29.22,33.52,32.24,,,,,,,,38.98,12.04,57.19
G06006900008022,,,,9.55,,8.52,,,,,11.12,,12.4,,,,,,8.19,,,,,,,,,13.18,13.47,14.75,7.64,,,,,,,2.3,,
G06006900008023,,,,5.13,,,,,,,4.44,,1.89,,5.52,5.77,,,,,,,,,5.42,,,4.51,0.32,1.46,,,,,,,,14.87,,
