,blockgroup,hub
0,G06001303451011,31771037
1,G06001303451012,31771037
2,G06001303451013,31771037
3,G06001303451021,31771037
4,G06001303451022,31771037
5,G06001303451023,31771037
6,G06001303451032,31771037
7,G06001303451033,31771037
8,G06001303451051,31771037
9,G06001303451052,31771037
10,G06001303451053,31771037
11,G06001303451054,31771037
12,G06001303451081,31771037
13,G06001303451082,31771037
14,G06001303451083,31771037
15,G06001303451084,31771037
16,G06001303451111,31771037
17,G06001303451112,31771037
18,G06001303451113,31771037
19,G06001303451121,31771037
20,G06001303451122,31771037
21,G06001303451131,31771037
22,G06001303451132,31771037
23,G06001303451141,31771037
24,G06001303451142,31771037
25,G06001303451143,31771037
26,G06001303451144,31771037
27,G06001303451151,31771037
28,G06001303451152,31771037
29,G06001303451161,31771037
30,G06001303451162,31771037
31,G06001303452021,31771037
32,G06001303452022,31771037
33,G06001303452023,31771037
34,G06001303462042,31771037
35,G06001303551143,31771037
36,G06001303551151,31771037
37,G06001303800002,226852758
38,G06001303800002,286961510
39,G06001303800002,400277094
40,G06001303800002,433769471
41,G06001303800002,45303398
42,G06001303800002,45303399
43,G06001303800002,479030247
44,G06001303820001,226852758
45,G06001303820001,45303398
46,G06001303820001,45303399
47,G06001303820002,45303398
48,G06001303820002,45303399
49,G06001303820003,226852758
50,G06001303820003,45303398
51,G06001303820003,45303399
52,G06001303820003,479030247
53,G06001303820004,226852758
54,G06001303820004,286961510
55,G06001303820004,400277094
56,G06001303820004,433769471
57,G06001303820004,45303398
58,G06001303820004,45303399
59,G06001303820004,479030247
60,G06001303830001,226852758
61,G06001303830001,286961510
62,G06001303830001,45303398
63,G06001303830001,45303399
64,G06001303830001,479030247
65,G06001303830002,226852758
66,G06001303830002,286961510
67,G06001303830002,433769471
68,G06001303830002,45303398
69,G06001303830002,45303399
70,G06001303830002,479030247
71,G06001303830003,226852758
72,G06001303830003,286961510
73,G06001303830003,400277094
74,G06001303830003,433769471
75,G06001303830003,45303398
76,G06001303830003,45303399
77,G06001303830003,479030247
78,G06001303840002,45303399
79,G06001303851001,226852758
80,G06001303851001,45303398
81,G06001303851001,45303399
82,G06001303851001,479030247
83,G06001303851002,226852758
84,G06001303851002,45303398
85,G06001303851002,45303399
86,G06001303851002,479030247
87,G06001303852001,226852758
88,G06001303852001,45303398
89,G06001303852001,45303399
90,G06001303852002,226852758
91,G06001303852002,45303398
92,G06001303852002,45303399
93,G06001303852002,479030247
94,G06001303860001,226852758
95,G06001303860001,45303398
96,G06001303860001,45303399
97,G06001303860002,226852758
98,G06001303860002,45303398
99,G06001303860002,45303399
100,G06001303860002,479030247
101,G06001303860003,226852758
102,G06001303860003,45303398
103,G06001303860003,45303399
104,G06001303860003,479030247
105,G06001303860004,226852758
106,G06001303860004,45303398
107,G06001303860004,45303399
108,G06001303860004,479030247
109,G06001303870001,226852758
110,G06001303870001,45303398
111,G06001303870001,45303399
112,G06001303870001,479030247
113,G06001303870002,226852758
114,G06001303870002,286961510
115,G06001303870002,45303398
116,G06001303870002,45303399
117,G06001303870002,479030247
118,G06001303870003,226852758
119,G06001303870003,286961510
120,G06001303870003,45303398
121,G06001303870003,45303399
122,G06001303870003,479030247
123,G06001303880001,226852758
124,G06001303880001,286961510
125,G06001303880001,45303398
126,G06001303880001,45303399
127,G06001303880001,479030247
128,G06001303880002,226852758
129,G06001303880002,286961510
130,G06001303880002,400277094
131,G06001303880002,433769471
132,G06001303880002,45303398
133,G06001303880002,45303399
134,G06001303880002,479030247
135,G06001303891001,226852758
136,G06001303891001,286961510
137,G06001303891001,400277094
138,G06001303891001,433769471
139,G06001303891001,45303398
140,G06001303891001,45303399
141,G06001303891001,479030247
142,G06001303891002,226852758
143,G06001303891002,286961510
144,G06001303891002,400277094
145,G06001303891002,433769471
146,G06001303891002,45303398
147,G06001303891002,45303399
148,G06001303891002,479030247
149,G06001303892001,226852758
150,G06001303892001,286961510
151,G06001303892001,400277094
152,G06001303892001,433769471
153,G06001303892001,45303398
154,G06001303892001,45303399
155,G06001303892001,479030247
156,G06001303892002,226852758
157,G06001303892002,286961510
158,G06001303892002,400277094
159,G06001303892002,433769471
160,G06001303892002,45303398
161,G06001303892002,45303399
162,G06001303892002,479030247
163,G06001303901001,226852758
164,G06001303901001,286961510
165,G06001303901001,45303398
166,G06001303901001,45303399
167,G06001303901001,479030247
168,G06001303901002,226852758
169,G06001303901002,286961510
170,G06001303901002,45303398
171,G06001303901002,45303399
172,G06001303901002,479030247
173,G06001303901003,226852758
174,G06001303901003,286961510
175,G06001303901003,45303398
176,G06001303901003,45303399
177,G06001303901003,479030247
178,G06001303902001,226852758
179,G06001303902001,286961510
180,G06001303902001,400277094
181,G06001303902001,433769471
182,G06001303902001,45303398
183,G06001303902001,45303399
184,G06001303902001,479030247
185,G06001303902002,226852758
186,G06001303902002,286961510
187,G06001303902002,400277094
188,G06001303902002,433769471
189,G06001303902002,45303398
190,G06001303902002,45303399
191,G06001303902002,479030247
192,G06001303910001,226852758
193,G06001303910001,286961510
194,G06001303910001,400277094
195,G06001303910001,433769471
196,G06001303910001,45303398
197,G06001303910001,45303399
198,G06001303910001,479030247
199,G06001303910002,226852758
200,G06001303910002,286961510
201,G06001303910002,45303398
202,G06001303910002,45303399
203,G06001303910002,479030247
204,G06001303920001,226852758
205,G06001303920001,286961510
206,G06001303920001,45303398
207,G06001303920001,45303399
208,G06001303920001,479030247
209,G06001303920002,226852758
210,G06001303920002,286961510
211,G06001303920002,400277094
212,G06001303920002,45303398
213,G06001303920002,45303399
214,G06001303920002,479030247
215,G06001303920003,226852758
216,G06001303920003,286961510
217,G06001303920003,400277094
218,G06001303920003,433769471
219,G06001303920003,45303398
220,G06001303920003,45303399
221,G06001303920003,479030247
